SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (₹ Crores),52 WEEK HIGH,52 WEEK LOW,30 D %CHNG,365 D %CHNG
"FEDERALBNK","356.50","356.95","343.10","353.35","344.60","-","-8.75","-2.48","6683672","231.88","371.70","188.40","-7.29","78.34"
"DLF","671.00","689.35","671.00","673.55","681.65","-","8.1","1.2","3400599","231.71","794.80","489.40","1.96","-10.83"
"SUNPHARMA","1,932.00","1,936.80","1,913.00","1,931.70","1,916.00","-","-15.7","-0.81","1205188","231.39","2,046.90","1,548.00","-2.42","21.37"
"HINDZINC","593.00","599.00","584.50","588.40","587.95","-","-0.45","-0.08","3896295","229.76","733.00","430.75","7.49","32.24"
"FINCABLES","1,197.20","1,279.80","1,197.20","1,191.20","1,270.10","-","78.9","6.62","1809176","227.27","1,374.00","700.80","27.26","48.23"
"JIOFIN","236.90","240.48","236.40","236.90","237.45","-","0.55","0.23","9293803","221.09","321.60","223.30","-9.71","-24.31"
"OBEROIRLTY","1,866.10","1,912.70","1,866.10","1,866.00","1,902.00","-","36","1.93","1127326","213.86","1,986.10","1,391.20","2.2","14.81"
"LICI","411.80","417.00","411.00","408.25","416.90","-","8.65","2.12","5101486","211.80","468.48","360.75","-2.71","-4.24"
"TATAPOWER","366.55","370.75","362.75","364.00","365.70","-","1.7","0.47","5763428","211.74","464.90","342.50","-4.27","-6.03"
"APOLLOHOSP","8,690.00","8,785.50","8,655.50","8,719.00","8,692.00","-","-27","-0.31","241427","210.50","9,050.00","6,696.50","-1.45","12.36"
"ENGINERSIN","275.55","285.10","272.25","276.60","280.80","-","4.2","1.52","7395677","208.03","289.65","163.55","23.81","39.06"
"DATAPATTNS","4,525.10","4,644.70","4,525.10","4,516.70","4,595.00","-","78.3","1.73","451510","208.00","5,000.00","2,131.00","3.75","80.44"
"LODHA","1,209.80","1,244.40","1,205.30","1,208.30","1,234.00","-","25.7","2.13","1694352","207.83","1,344.95","650.80","-0.47","2.71"
"POWERINDIA","32,390.00","32,635.00","31,910.00","32,200.00","32,000.00","-","-200","-0.62","63981","205.84","38,785.00","16,111.00","0","66.68"
"WOCKPHARMA","1,904.60","1,982.00","1,891.40","1,904.30","1,950.00","-","45.7","2.4","1056401","205.56","2,422.30","1,086.70","-3.87","31.05"
"CGPOWER","879.00","900.65","875.40","877.75","895.00","-","17.25","1.97","2285287","203.37","980.90","525.50","8.34","22.05"
"NAM-INDIA","1,171.20","1,180.20","1,150.40","1,171.50","1,164.90","-","-6.6","-0.56","1722843","200.03","1,269.50","786.20","-0.01","42.73"
"AFFLE","1,540.00","1,540.20","1,489.20","1,517.90","1,524.00","-","6.1","0.4","1325612","199.67","2,185.90","1,251.30","-8.36","-19.97"
"HCLTECH","1,345.00","1,345.00","1,308.00","1,331.50","1,319.00","-","-12.5","-0.94","1515496","199.49","1,780.10","1,030.00","-4.21","-10.03"
"INDUSINDBK","980.00","1,004.80","977.60","978.00","1,004.80","-","26.8","2.74","1959777","195.20","1,077.85","710.60","-2.34","30.82"
"HAL","4,793.00","4,810.00","4,750.00","4,780.00","4,765.60","-","-14.4","-0.3","401080","191.56","5,149.90","3,479.10","1.61","7.07"
"PTCIL","22,715.00","24,000.00","22,550.00","22,715.00","23,635.00","-","920","4.05","80704","189.34","24,000.00","13,400.00","31.44","72.46"
"HDFCAMC","2,530.00","2,535.40","2,486.00","2,525.70","2,510.80","-","-14.9","-0.59","746134","186.26","2,967.25","2,205.60","-3.45","-10.29"
"HSCL","662.15","665.90","658.45","659.60","660.00","-","0.4","0.06","2750945","181.93","819.50","418.50","-12.08","42.07"
"RRKABEL","2,650.00","2,685.90","2,594.00","2,630.40","2,639.00","-","8.6","0.33","686037","180.07","2,983.80","1,181.60","0.27","117.9"
"POLYCAB","8,879.50","8,930.00","8,787.00","8,804.00","8,807.50","-","3.5","0.04","202650","179.41","10,126.00","6,663.00","-2.51","21.73"
"VBL","414.00","415.45","407.15","415.00","407.15","-","-7.85","-1.89","4325249","177.48","555.80","381.00","-8.51","-19.42"
"ENRIN","3,148.00","3,215.00","3,118.00","3,119.30","3,148.00","-","28.7","0.92","548283","173.90","3,968.00","2,115.00","-3.32","-8.41"
"GESHIP","1,313.60","1,360.00","1,313.10","1,305.60","1,355.00","-","49.4","3.78","1290655","173.37","1,798.00","948.40","-3.1","41.32"
"MRPL","175.21","179.99","174.50","175.22","176.40","-","1.18","0.67","9658885","171.91","212.31","124.21","1.34","38.62"
"CANBK","126.78","128.69","125.71","126.30","125.80","-","-0.5","-0.4","13360020","170.02","162.89","104.75","-1.02","16.13"
"HYUNDAI","2,172.00","2,184.80","2,147.60","2,154.40","2,152.00","-","-2.4","-0.11","784430","169.61","2,890.00","1,658.00","-2.49","-14.44"
"JSWSTEEL","1,315.00","1,325.00","1,295.00","1,306.00","1,308.00","-","2","0.15","1291167","169.02","1,351.00","1,031.20","1.21","21.99"
"MUTHOOTFIN","2,975.00","2,985.90","2,926.50","2,937.70","2,926.50","-","-11.2","-0.38","566996","167.54","4,149.50","2,671.00","1.23","5.13"
"PWL","116.99","121.25","115.51","115.47","121.00","-","5.53","4.79","13968782","166.76","161.99","77.72","-3.99","0"
"BEML","2,050.00","2,090.00","2,031.60","2,032.40","2,066.10","-","33.7","1.66","801498","165.82","2,275.75","1,355.00","18.49","0.7"
"INDUSTOWER","380.50","381.30","373.35","379.00","374.95","-","-4.05","-1.07","4386555","165.45","481.50","312.55","-5.15","15.67"
"TMPV","314.00","314.25","309.60","312.75","312.00","-","-0.75","-0.24","5195643","161.95","739.70","294.30","-10.68","-54.92"
"TORNTPHARM","5,025.00","5,025.00","4,886.50","5,012.00","4,905.50","-","-106.5","-2.12","328567","161.86","5,250.00","3,480.60","-2.86","36.01"
"VEDL","272.00","274.75","268.00","270.70","270.50","-","-0.2","-0.07","5945928","160.80","795.00","249.70","1.22","-38.45"
"SIEMENS","4,018.90","4,111.90","4,008.10","4,018.90","4,030.00","-","11.1","0.28","388897","157.71","4,149.40","2,826.00","3.33","25.47"
"INDIANB","882.50","906.70","882.45","878.80","888.75","-","9.95","1.13","1755640","157.14","1,000.90","660.10","5.18","32.55"
"INDHOTEL","727.00","733.85","720.00","727.70","732.00","-","4.3","0.59","2138130","155.61","792.55","565.00","-2.66","-5.42"
"HEXT","538.00","538.00","519.20","543.60","532.00","-","-11.6","-2.13","2916864","154.17","807.75","400.20","-4.97","-29.02"
"ASHOKLEY","168.50","169.35","166.05","167.90","169.35","-","1.45","0.86","9119654","153.01","215.42","126.54","-2.98","30.04"
"POLICYBZR","1,853.90","1,870.00","1,834.40","1,851.90","1,870.00","-","18.1","0.98","826275","152.73","1,974.00","1,364.00","13.33","2.17"
"AUROPHARMA","1,656.10","1,666.60","1,626.60","1,648.20","1,637.30","-","-10.9","-0.66","920206","151.67","1,717.00","1,016.20","5.31","58.21"
"ICICIAMC","2,998.90","3,011.00","2,951.10","2,973.30","2,976.00","-","2.7","0.09","507302","151.39","3,611.00","2,530.00","-3.97","0"
"BPCL","318.40","321.95","317.20","319.60","320.05","-","0.45","0.14","4704414","150.36","391.65","266.60","-3","1.65"
"SUZLON","45.70","46.38","45.55","45.46","46.03","-","0.57","1.25","32563002","150.02","61.50","38.19","-4.3","-20.62"
"PRESTIGE","1,589.00","1,641.40","1,585.90","1,582.00","1,615.20","-","33.2","2.1","918809","149.32","1,805.20","1,090.00","-3.28","1.91"
"ASIANPAINT","2,530.00","2,544.00","2,515.10","2,527.50","2,541.60","-","14.1","0.56","589499","149.17","2,985.70","2,115.00","-9.55","-0.48"
"CHOLAFIN","1,826.00","1,858.00","1,826.00","1,825.90","1,849.30","-","23.4","1.28","805773","148.26","1,952.50","1,299.40","-2.06","28.44"
"TRENT","2,860.00","2,879.80","2,815.60","2,852.30","2,815.60","-","-36.7","-1.29","520969","148.20","3,782.67","2,183.67","-7.69","-22.92"
"HINDALCO","1,014.50","1,022.50","1,002.10","1,009.70","1,010.00","-","0.3","0.03","1459349","147.30","1,176.00","714.20","1.52","35.94"
"ADANIGREEN","1,300.00","1,310.30","1,278.60","1,296.00","1,283.40","-","-12.6","-0.97","1133280","146.58","1,631.50","765.00","-8","37.16"
"MOTHERSON","164.00","164.34","161.35","163.30","162.00","-","-1.3","-0.8","8794139","142.76","173.27","93.49","4.51","67.82"
"NATIONALUM","374.00","378.50","370.55","370.00","374.00","-","4","1.08","3760490","140.59","445.15","190.87","1.36","80.57"
"MARICO","829.35","832.85","817.80","829.35","827.40","-","-1.95","-0.24","1702965","140.10","889.10","690.30","-6.08","12.61"
"PNB","117.95","118.25","116.32","117.00","116.32","-","-0.68","-0.58","11831844","138.89","135.15","98.50","2.94","11.52"
"NIACL","198.70","203.82","192.87","199.11","195.05","-","-4.06","-2.04","6906382","137.66","218.00","116.97","11.16","-2.48"
"PAGEIND","36,045.00","36,320.00","35,600.00","36,200.00","35,865.00","-","-335","-0.93","37917","136.67","45,890.00","29,805.00","-10.78","-20.87"
